Spelling	Pronunciation	Simplified Pronunciation	Part of Speech	Translation	Notes
	/seluŋ/	se-lung	Proper Noun	—	The name attributed to the spoken language
	/neʃ/	nesh	Polypersonal Marker	—	First person to second person polyperson marker
	/ner/	ner	Polypersonal Marker	—	First person to third person polyperson marker
	/jen/	yen	Polypersonal Marker	—	Second person to first person polyperson marker
	/jaʒen/	jazjen	Polypersonal Marker	—	Second person to second person polyperson marker
	/jor/	yor	Polypersonal Marker	—	Second person to third person polyperson marker
	/fen/	fen	Polypersonal Marker	—	Third person to first person polyperson marker
	/feʃun/	fe-shun	Polypersonal Marker	—	Third person to second person polyperson marker
	/fal/	fal	Polypersonal Marker	—	Third person to third person polyperson marker
	/ʍuʒ/	whuzj	Pronoun	"me
us"	First person pronoun
	/rur/	rure	Pronoun	you	Second person pronoun
	/fehij/	fe-hee	Pronoun	them	Third person pronoun
	/liʃ/	leesh	Noun	person	
	/roʃal/	ro-shaal	Noun	animal	
	/zen/	zen	Verb	see	This is an irregular verb, look to the appendix for more details as to how it conjugates
	/vosi/	vo-see	Verb	sit	
	/ʒal/	zhal	Verb	give	giving in the sense of gifting someone with no expectation of repayment
	/voxaj/	vokh-ay	Proper Noun	—	Name of the mountaintop city that the selung speakers mostly reside
	/voj/	voy	Noun	sky	
	/los/	loss	Adjective	sprawling	Specifically referring to sprawling vastly in the horizontal plane, mostly referring to geographical things like the heavens, sky, ground etc. towers and tall structures aren't referred to this way
	/faxan/	fa-khan	Adjective	clear	
	/roʒ/	rozh	Adjective	many	
	/ʒir/	zheer	Verb	hope	
	/vizaj/	Vee-zai	Proper Noun	people of voxaj	"The name that citizens of Voxaj or speakers of Selung call themselves
Originally 'lishas viz Voxaj' this has in time morphed to 'Vizaj'"
	/zoreŋ/	zoreng	Noun	"zowhan-craftsperson
carpenter
"	An occupation that describes a craftsperson who dedicate themselves to creating handgliders as well as other carpentry tasks related to the wood of the evosu
	/zoʍan/	zo-whan	Noun	handglider	
	/siz/	siz	Noun	lake	
	/sizeŋ seluŋ fal/	sizeng selung fal	Proper Noun	—	"The name given to the volcanic crater lake in Voxaj

Translates to The Breathing Lake, literally the lake is breathing itself"
	/ʒalos liʒa/	zhalos lizha	Proper Noun	Towering Earth	The name of the mountain that Voxaj sits on
			Proper Noun	—	The name of the spirituality of the Voxaj citizens
	/aʒon/	azhon	Adjective	opposite of density	Where buoyancy is an important aspect of life in Voxaj, the people describe things in terms of their affinity for staying in the air rather than their density
	/viŋ/	ving	Verb	be	Irregular verb and Auxiliary verb for the near future tense
	/wel/	well	Verb	have	Regular verb and also Auxiliary verb for the past tense
